url,label
https://www.google.com,0
https://www.paypal.com,0
https://www.amazon.com,0
https://www.microsoft.com,0
https://www.github.com,0
https://www.wikipedia.org,0
https://www.facebook.com,0
https://www.linkedin.com,0
https://www.apple.com,0
https://www.netflix.com,0
https://www.bankofamerica.com,0
https://www.dropbox.com,0
https://www.hamdard.edu.pk,0
https://www.python.org,0
https://www.stackoverflow.com,0
http://paypal-secure-login.com,1
http://192.168.1.5/login,1
http://verify-your-account-now.com/login,1
http://www.paypa1-support.com,1
http://secure-bank0famerica.com,1
http://account-update-security.com/verify,1
http://192.168.0.101/paypal/login,1
http://free-gift-claim-now.com,1
http://appleid-verify-locked.com,1
http://www.g00gle-login-secure.com,1
http://micros0ft-support-alert.com/verify,1
http://login-facebook-security-check.com,1
http://drop-box-file-share-verify.com,1
http://netfIix-billing-update.com,1
http://linkedin-account-verify-now.com/@login,1
